"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
5614,"Thunnus albacares",157,57670,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",NA,95,NA,NA,NA,NA,"Eastern Pacific",NA,NA,"IATTC 1990.",1,"2006-11-15T23:20:44.000Z",NA,"2006-11-15T23:20:44.000Z",NA,NA,NA,143
5613,"Thunnus albacares",157,57670,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",NA,120,NA,NA,NA,NA,"Western and central Pacific",NA,NA,"The majority do not mature until they reach 120 cm length (Yuen and June 1957; Kiwa 1962). ",1,"2006-11-15T23:18:22.000Z",NA,"2006-11-15T23:18:22.000Z",NA,NA,NA,143
8205,"Thunnus albacares",157,93610,"female",NA,NA,NA,NA,74,NA,NA,NA,NA,NA,78,158,"FL",93610,94.8,NA,NA,89.2,100.9,"Tomini Bay, Marisa, Gorontalo, 2007","360",NA,"The sample involved 74 females of yellowfin tuna ",2339,"2013-06-13T16:34:51.000Z",2,"2013-06-21T00:00:00.000Z",NA,NA,NA,143
416,"Thunnus obesus",160,168,"unsexed",NA,NA,12451,NA,NA,NA,NA,NA,NA,NA,130,NA,"FL",NA,NA,NA,NA,NA,NA,"Central Pacific",NA,NA,NA,18,"1994-03-25T00:00:00.000Z",NA,"1998-10-07T00:00:00.000Z",NA,NA,NA,146
417,"Thunnus obesus",160,168,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,130,"FL",NA,NA,NA,NA,NA,NA,"Eastern Pacific and Indian Ocean",NA,NA,NA,18,"1994-03-25T00:00:00.000Z",NA,"1994-03-25T00:00:00.000Z",NA,NA,NA,146
418,"Thunnus obesus",160,1341,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",NA,120,NA,NA,NA,NA,"10°S 115°W, Eastern Pacific Ocean",NA,NA,NA,3,"1992-10-19T00:00:00.000Z",NA,"1992-10-19T00:00:00.000Z",NA,NA,NA,146
419,"Thunnus obesus",160,6390,"female",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,125,"FL",30331,NA,NA,NA,NA,NA,"Northwestern Coral Sea","036",NA,NA,2,"1999-05-18T00:00:00.000Z",NA,"1999-05-18T00:00:00.000Z",NA,NA,NA,146
420,"Thunnus obesus",160,6390,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,92,"NG",30315,NA,NA,NA,NA,NA,"South Pacific",NA,NA,NA,2,"1999-08-19T00:00:00.000Z",NA,"1999-08-19T00:00:00.000Z",NA,NA,NA,146
421,"Thunnus obesus",160,12451,"unsexed",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,100,"FL",NA,NA,NA,NA,NA,NA,"Pacific",NA,NA,NA,3,"1998-10-07T00:00:00.000Z",NA,"1998-10-07T00:00:00.000Z",NA,NA,NA,146
6026,"Variola louti",5593,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,"TL",34166,NA,NA,NA,NA,NA,"Aisa-Pacific Region",NA,NA,NA,393,"2007-12-28T00:00:00.000Z",NA,"2007-12-28T00:00:00.000Z",NA,NA,NA,5354
