outcome,day_of_year,date_numeric,spp_name,location
0,354,1355860800,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,149,1369771200,White-tail tropicbird,Aldabra
0,219,1375819200,White-tail tropicbird,Aldabra
0,22,1453406400,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,7,1452110400,White-tail tropicbird,Aldabra
0,99,1365451200,White-tail tropicbird,Aldabra
0,288,1381780800,White-tail tropicbird,Aldabra
0,288,1381780800,White-tail tropicbird,Aldabra
0,275,1380657600,White-tail tropicbird,Aldabra
0,322,1384718400,White-tail tropicbird,Aldabra
0,322,1384718400,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,50,1392753600,White-tail tropicbird,Aldabra
0,93,1396468800,White-tail tropicbird,Aldabra
0,118,1398628800,White-tail tropicbird,Aldabra
0,146,1401048000,White-tail tropicbird,Aldabra
0,255,1410465600,White-tail tropicbird,Aldabra
0,8,1420660800,White-tail tropicbird,Aldabra
0,253,1441828800,White-tail tropicbird,Aldabra
0,240,1440705600,White-tail tropicbird,Aldabra
0,102,1460318400,White-tail tropicbird,Aldabra
0,22,1453406400,White-tail tropicbird,Aldabra
0,145,1464033600,White-tail tropicbird,Aldabra
1,264,1285012800,White-tail tropicbird,Aldabra
0,117,1272312000,White-tail tropicbird,Aldabra
0,341,1323201600,White-tail tropicbird,Aldabra
0,158,1338926400,White-tail tropicbird,Aldabra
0,158,1338926400,White-tail tropicbird,Aldabra
0,271,1348689600,White-tail tropicbird,Aldabra
0,95,1333483200,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,354,1355860800,White-tail tropicbird,Aldabra
0,57,1456430400,White-tail tropicbird,Aldabra
1,116,1366920000,White-tail tropicbird,Aldabra
0,205,1374609600,White-tail tropicbird,Aldabra
0,36,1391544000,White-tail tropicbird,Aldabra
0,21,1390248000,White-tail tropicbird,Aldabra
0,36,1391544000,White-tail tropicbird,Aldabra
0,36,1391544000,White-tail tropicbird,Aldabra
0,93,1396468800,White-tail tropicbird,Aldabra
1,191,1404936000,White-tail tropicbird,Aldabra
0,280,1412625600,White-tail tropicbird,Aldabra
1,106,1429128000,White-tail tropicbird,Aldabra
1,106,1429128000,White-tail tropicbird,Aldabra
0,7,1452110400,White-tail tropicbird,Aldabra
0.3333333333333333,46,1171483200,White-tail tropicbird,Cousine
0.6,74,1173902400,White-tail tropicbird,Cousine
0.125,105,1176580800,White-tail tropicbird,Cousine
0.6153846153846154,135,1179172800,White-tail tropicbird,Cousine
0.5,166,1181851200,White-tail tropicbird,Cousine
0.7142857142857143,196,1184443200,White-tail tropicbird,Cousine
0.8181818181818182,227,1187121600,White-tail tropicbird,Cousine
0.3333333333333333,258,1189800000,White-tail tropicbird,Cousine
0.3333333333333333,288,1192392000,White-tail tropicbird,Cousine
1,319,1195070400,White-tail tropicbird,Cousine
0.6,349,1197662400,White-tail tropicbird,Cousine
0.625,15,1200340800,White-tail tropicbird,Cousine
NaN,46,1203019200,White-tail tropicbird,Cousine
1,75,1205524800,White-tail tropicbird,Cousine
0.7777777777777778,106,1208203200,White-tail tropicbird,Cousine
1,136,1210795200,White-tail tropicbird,Cousine
0.14285714285714285,167,1213473600,White-tail tropicbird,Cousine
0.2727272727272727,197,1216065600,White-tail tropicbird,Cousine
0.4444444444444444,228,1218744000,White-tail tropicbird,Cousine
0.5714285714285714,259,1221422400,White-tail tropicbird,Cousine
0.16666666666666666,289,1224014400,White-tail tropicbird,Cousine
0.625,320,1226692800,White-tail tropicbird,Cousine
0.5384615384615384,350,1229284800,White-tail tropicbird,Cousine
